r y0 y1 y2 y3 y4 y5 y6 y7 y8 y9 y10 y11 y12 y13 y14 y15 y16 y17 y18 y19
0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 9.999999999999997780e-01 0.000000000000000000e+00 9.999999999999993339e-01 0.000000000000000000e+00 1.000000000000000444e+00 0.000000000000000000e+00 1.000000000000000444e+00 0.000000000000000000e+00 1.000000000000000222e+00 0.000000000000000000e+00 9.999999999999984457e-01 0.000000000000000000e+00
3.030303030303030387e-02 9.990821478386752164e-01 3.027521660117197741e-02 9.981647170325790297e-01 4.279596369254654725e-02 9.972477074527483776e-01 5.239006810357989263e-02 9.963311189702498405e-01 6.046705592870079554e-02 9.954149514561786427e-01 6.757316987492245630e-02 9.944992047816603176e-01 7.398869146860849455e-02 9.935838788178502634e-01 7.988019975229106173e-02 9.926689734359339656e-01 8.535628126791380832e-02 9.917544885071271077e-01 9.049239584134342873e-02 9.908404239026684657e-01 9.534351101192239941e-02
6.060606060606060774e-02 9.963336429779630077e-01 6.038385715017957622e-02 9.926740152718915855e-01 8.523883654426954448e-02 9.890211086451698996e-01 1.042039824376540247e-01 9.853749148687448445e-01 1.201031418716293625e-01 9.817354257211191593e-01 1.340323297276224401e-01 9.781026329883492076e-01 1.465547463365088621e-01 9.744765284640315439e-01 1.580056030596965477e-01 9.708571039493060217e-01 1.686037274074412839e-01 9.672443512528476894e-01 1.785014085684731300e-01 9.636382621908602397e-01 1.878097398298839704e-01
9.090909090909091161e-02 9.917695939779197500e-01 9.016087217981089141e-02 9.835731510524824417e-01 1.269798409253315441e-01 9.754105777259104437e-01 1.548743841095945595e-01 9.672817806935239959e-01 1.780925047022653418e-01 9.591866668434211318e-01 1.982872621766834098e-01 9.511251432561590446e-01 2.163102421533529551e-01 9.430971172044374518e-01 2.326695704177598190e-01 9.351024961527812929e-01 2.476977867593327109e-01 9.271411877572171001e-01 2.616269004443591006e-01 9.192130998649623574e-01 2.746265894144436226e-01
1.212121212121212155e-01 9.854150280001890971e-01 1.194442458182047445e-01 9.709369375979824968e-01 1.676787565166180383e-01 9.565652059866093238e-01 2.038513349262492669e-01 9.422993122782054032e-01 2.336494838704840094e-01 9.281387374981758809e-01 2.592947257088997204e-01 9.140829645795762737e-01 2.819356847798592525e-01 9.001314783574992928e-01 3.022602353100785066e-01 8.862837655634843159e-01 3.207202127067531050e-01 8.725393148199358517e-01 3.376320300881477943e-01 8.588976166345564378e-01 3.532279617158212703e-01
1.515151515151515194e-01 9.773046622194879740e-01 1.480764639726497023e-01 9.548688343448440419e-01 2.070080275529638802e-01 9.326905343383663505e-01 2.506106090050528312e-01 9.107677915246022993e-01 2.860327138202500841e-01 8.890986465382199055e-01 3.160804371309507976e-01 8.676811512720794539e-01 3.422117554703653086e-01 8.465133688255009892e-01 3.653040942207008146e-01 8.255933734527379775e-01 3.859366507059053819e-01 8.049192505116340435e-01 4.045170511630036270e-01 7.844890964124916488e-01 4.213460299760607430e-01
1.818181818181818232e-01 9.674825879029631537e-01 1.759059250732660229e-01 9.354996924350965637e-01 2.446566681645239438e-01 9.040454398675253911e-01 2.946614927060793310e-01 8.731140049341307163e-01 3.345583386490650346e-01 8.426996105114884505e-01 3.677592973804376664e-01 8.127965273005715030e-01 3.960481883789676583e-01 7.833990735102028813e-01 4.205051947297904769e-01 7.545016145422600573e-01 4.418477927420232376e-01 7.260985626786066183e-01 4.605840674959301717e-01 6.981843767697609726e-01 4.770911914058793557e-01
2.121212121212121271e-01 9.560018711796403057e-01 2.027882757047722029e-01 9.129861763331734714e-01 2.803339047415276397e-01 8.709382358703049443e-01 3.355539466938430304e-01 8.298435349563862973e-01 3.786119504299475524e-01 7.896877220319974411e-01 4.135533565882605345e-01 7.504566073436232942e-01 4.425089698955348982e-01 7.121361614853364275e-01 4.667787042015491550e-01 6.747125139514492664e-01 4.872323535769639835e-01 6.381719517000216113e-01 5.044903376157932051e-01 6.025009177271873906e-01 5.190164856467480714e-01
2.424242424242424310e-01 9.429240755574340715e-01 2.285876546805900855e-01 8.875088865439577646e-01 3.137724993961873987e-01 8.337220593747708408e-01 3.728849984999165756e-01 7.815316947055106489e-01 4.176589959008088493e-01 7.309063618690486708e-01 4.528070805758302453e-01 6.818150933667073144e-01 4.808331709955945832e-01 6.342273794134297704e-01 5.032778427640078878e-01 5.881131625364564020e-01 5.211804424137460590e-01 5.434428322270543621e-01 5.352882057045955655e-01 5.001872196448658991e-01 5.461639711974308753e-01
2.727272727272727071e-01 9.283187121981094636e-01 2.531778305994843992e-01 8.592702129437046477e-01 3.447317048022950914e-01 7.927896330830586091e-01 4.063042514188005550e-01 7.288133051931859896e-01 4.512534359206443191e-01 6.672787457494609997e-01 4.849995595979221807e-01 6.081246375139111038e-01 5.104508650708490247e-01 5.512908121418274021e-01 5.294134002705189745e-01 4.967182330043902194e-01 5.431162759761520853e-01 4.443489782250010789e-01 5.524502972775133802e-01 3.941262239270451606e-01 5.580913669359731655e-01
3.030303030303030387e-01 9.122626248163154816e-01 2.764432196413077469e-01 8.284919521977374135e-01 3.729998078145930207e-01 7.485674996259259473e-01 4.355184154690212028e-01 6.723715376840839753e-01 4.790444870187974269e-01 5.997890396509324429e-01 5.097533885136006360e-01 5.307076318644312618e-01 5.309937413756197211e-01 4.650175448451556726e-01 5.448653184000203931e-01 4.026115651693772945e-01 5.528095885615471605e-01 3.433849880819805911e-01 5.558792307005999689e-01 2.872355708394961904e-01 5.548781488343262902e-01
3.333333333333333703e-01 8.948393168143697896e-01 2.982797722714566335e-01 7.954127260572175784e-01 3.983962271429715152e-01 7.015098347865738049e-01 4.602947879678080390e-01 6.129260615399751977e-01 5.007813231996894876e-01 5.294625076733607827e-01 5.268400427943951136e-01 4.509258310762163657e-01 5.423001926134161099e-01 3.771281222253332621e-01 5.495860957566458538e-01 3.078867825400459779e-01 5.503755240093223255e-01 2.430244050023651070e-01 5.459017319683843183e-01 1.823686570058784817e-01 5.371111998274074040e-01
3.636363636363636465e-01 8.761382288890751102e-01 3.185957195960273380e-01 7.602852399450651388e-01 4.207731388019759211e-01 6.520919527494195567e-01 4.804636344348648391e-01 5.512207495942214042e-01 5.163156674868693008e-01 4.573451736875181473e-01 5.361816737792898246e-01 3.701496339886012898e-01 5.444148283102631103e-01 2.893291165482948513e-01 5.437960550501922397e-01 2.145889022313705874e-01 5.362632257393030732e-01 1.456442907002375164e-01 5.232476713131882784e-01 8.222033054106339667e-02 5.058509997725254559e-01
