r y0 y1 y2 y3 y4 y5 y6 y7 y8 y9 y10 y11 y12 y13 y14 y15 y16 y17 y18 y19
7.070707070707070718e-01 7.788206486646052085e-01 5.506812667325491351e-01 3.894500560254290367e-01 5.841055518015523251e-01 9.741217963622550435e-02 5.166865129112399035e-01 -1.135134447285900822e-01 4.073326301607922972e-01 -2.575199301389712314e-01 2.828985825112209085e-01 -3.469757529396572115e-01 1.580917296783579395e-01 -3.926105760349757889e-01 4.144026394581432071e-02 -4.036853874153292776e-01 -6.215238077387034293e-02 -3.881480849211551010e-01 -1.500805401672366257e-01 -3.527755670366210516e-01 -2.212578923529150143e-01
7.777777777777777901e-01 7.389912962803087959e-01 5.747710082180179647e-01 2.919471787774059468e-01 5.669872340995555371e-01 -1.987989083881644067e-02 4.540160689285377971e-01 -2.237559016483885166e-01 3.061732654440871282e-01 -3.428232826544224121e-01 1.546045126594400021e-01 -3.965998026442699720e-01 1.520303846002486400e-02 -4.014271694473954821e-01 -1.039332169563601388e-01 -3.708736755556787945e-01 -1.992056798302635212e-01 -3.160949083661241388e-01 -2.697634478770991051e-01 -2.461562366942841029e-01 -3.164634171751480873e-01
8.484848484848483974e-01 6.977019528530102876e-01 5.919895357540693182e-01 1.954078013041030681e-01 5.358385144919292076e-01 -1.260789054264647990e-01 3.757476689623889810e-01 -3.101475266094548267e-01 1.938292881726276784e-01 -3.923781337129937374e-01 2.447674917030707650e-02 -4.016659331091421703e-01 -1.167899495090640311e-01 -3.612107718227113851e-01 -2.239657400548634159e-01 -2.893856020792316408e-01 -2.963120180064058862e-01 -2.004965317182744455e-01 -3.360717394847720918e-01 -1.054459387326817515e-01 -3.471183171640949139e-01
9.191919191919191157e-01 6.554345080877850283e-01 6.024701033938225647e-01 1.016488574934633349e-01 4.920790821926177561e-01 -2.181862282313768164e-01 2.859903946021868371e-01 -3.699601014550031874e-01 7.764277912339913323e-02 -4.056444090319188400e-01 -9.730451255958905143e-02 -3.656449445497658157e-01 -2.260378450473289891e-01 -2.808223151792164085e-01 -3.068341995601601147e-01 -1.742213978564414456e-01 -3.436361779739782185e-01 -6.254533762773012429e-02 -3.431470185854161303e-01 4.259398456510730263e-02 -3.131568811339253133e-01
9.898989898989898339e-01 6.126570231444388170e-01 6.064685683652020209e-01 1.231439991423885841e-02 4.374576774411572111e-01 -2.938903520016646342e-01 1.892189399882716894e-01 -4.020324669705981346e-01 -3.511735757339057989e-02 -3.846511485756874404e-01 -2.016935545446238431e-01 -2.953621609769734868e-01 -3.034832889506942633e-01 -1.727171072188904144e-01 -3.455924559278287234e-01 -4.341484755110057436e-02 -3.384665628210039579e-01 7.504240585300116229e-02 -2.943478684496874109e-01 1.721672917387566115e-01 -2.253487687495720482e-01
1.060606060606060552e+00 5.698155267038087501e-01 6.043498010494940953e-01 -7.116153501535160686e-02 3.739714140788694685e-01 -3.516257865389328385e-01 9.003142678042690139e-02 -4.067557379647568916e-01 -1.377342977050475537e-01 -3.337148225151104763e-01 -2.814800645673824486e-01 -2.002039161276594759e-01 -3.436413840742785775e-01 -5.141042323876233305e-02 -3.387590693814962473e-01 8.438840281443668601e-02 -2.852360569670513435e-01 1.913464672721791049e-01 -2.012753925389414444e-01 2.625044343314007489e-01 -1.029044311092051495e-01
1.131313131313131271e+00 5.273268570774163333e-01 5.965717979057638676e-01 -1.475826516644579423e-01 3.037798657529860447e-01 -3.905941460374887098e-01 -7.086789976864358090e-03 -3.859653103678594710e-01 -2.244611520765033008e-01 -2.589973859609484008e-01 -3.318009359876326059e-01 -9.112648058511579885e-02 -3.449787999530701255e-01 6.820427291626789124e-02 -2.902244210140397240e-01 1.923031242133759755e-01 -1.945627617452249380e-01 2.701242585467108492e-01 -8.157049066853555574e-02 3.008848476203675459e-01 3.025778170136082454e-02
1.202020202020201989e+00 4.855726887809581060e-01 5.836681814639799182e-01 -2.160082566151389494e-01 2.291180779412835267e-01 -4.107486873824159890e-01 -9.797999356365696966e-02 -3.427518762365388549e-01 -2.908505032470865004e-01 -1.679477859011685448e-01 -3.504265728576290151e-01 2.042744425196480265e-02 -3.098700207264452611e-01 1.724876951719768736e-01 -2.085191230413988295e-01 2.672222975342993800e-01 -8.148809671842630054e-02 3.018529718135649076e-01 4.411674235246702824e-02 2.841765666285696601e-01 1.498717861038322274e-01
1.272727272727272707e+00 4.448948328716431644e-01 5.662297872911822294e-01 -2.757612600444068751e-01 1.522124498012969174e-01 -4.127454760532429101e-01 -1.790083246067860900e-01 -2.812084704546277125e-01 -3.339766014331309041e-01 -6.867790590627170788e-02 -3.378079085017630101e-01 1.235959169020482556e-01 -2.441559734103933843e-01 2.504566098582908795e-01 -1.055634342269901188e-01 3.012374452231162403e-01 3.680438385166083515e-02 2.846763174238149396e-01 1.554712768934877754e-01 2.187188060144563684e-01 2.355211338759389816e-01
1.343434343434343425e+00 4.055918512313665958e-01 5.448860223613308795e-01 -3.264267444661789197e-01 7.520301463630124639e-02 -3.978659636055221216e-01 -2.471946403016998806e-01 -2.061338459083934538e-01 -3.525404821493980378e-01 3.067364967680824908e-02 -2.968929999287377997e-01 2.090475884134511408e-01 -1.563718408400149307e-01 2.948104710503189341e-01 4.923853334526937138e-03 2.923102838089959299e-01 1.434461443512593248e-01 2.241768413495175138e-01 2.356312777649776924e-01 1.186584577039213606e-01 2.739492775808957115e-01
